Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,Canada,,Winnipeg,3,18,2010,38.2
Africa,Tunisia,,Tunis,1,20,2017,52.3
North America,US,Louisiana,New Orleans,10,10,2016,77.7
North America,US,Georgia,Savannah,1,21,2020,37.2
North America,US,Nebraska,Omaha,2,14,2020,12.4
Middle East,Bahrain,,Manama,1,18,2016,64.0
Australia/South Pacific,New Zealand,,Auckland,6,1,2015,60.9
North America,US,Kansas,Goodland,6,25,2019,74.5
South/Central America & Carribean,Bolivia,,La Paz,10,7,2010,47.6
Europe,Croatia,,Zagreb,6,12,2018,79.9
North America,US,District of Columbia,Washington,1,23,2012,33.7
North America,US,Missouri,Kansas City,2,5,2017,38.0
Europe,Switzerland,,Geneva,9,24,2010,58.7
North America,US,Rhode Island,Rhode Island,12,22,2014,37.1
Africa,Gabon,,Libreville,6,6,2012,78.9
Middle East,Lebanon,,Beirut,11,10,2017,70.4
North America,US,Tennessee,Knoxville,2,10,2014,36.8
Asia,North Korea,,Pyongyang,6,27,2017,76.7
North America,US,Indiana,Indianapolis,2,6,2016,29.7
Asia,Pakistan,,Islamabad,9,10,2014,80.9
North America,US,North Carolina,Charlotte,1,10,2019,38.1
North America,US,South Dakota,Sioux Falls,8,10,2019,74.0
Asia,Japan,,Tokyo,4,29,2019,60.2
Middle East,Bahrain,,Manama,8,1,2010,95.3
Africa,Gabon,,Libreville,6,9,2013,79.5
South/Central America & Carribean,Cuba,,Havana,12,28,2016,72.5
Europe,Bulgaria,,Sofia,9,15,2015,69.5
North America,US,Maryland,Baltimore,2,10,2020,44.5
North America,US,Texas,Midland Odessa,1,10,2016,34.0
North America,US,North Carolina,Greensboro,2,2,2014,50.5
Middle East,United Arab Emirates,,Abu Dhabi,11,17,2012,77.5
Africa,Kenya,,Nairobi,11,9,2018,71.3
North America,US,Maryland,Washington DC,7,4,2016,70.3
North America,Mexico,,Monterrey,4,4,2014,81.3
Middle East,United Arab Emirates,,Dubai,5,5,2019,91.1
Middle East,Saudi Arabia,,Dhahran,2,16,2014,67.2
North America,US,Kansas,Topeka,7,26,2015,82.8
North America,US,Florida,Jacksonville,2,14,2018,56.1
Asia,India,,Chennai (Madras),5,4,2019,93.2
North America,US,New York,Rochester,6,14,2010,67.6
North America,US,Nebraska,North Platte,7,31,2019,74.8
North America,US,New Hampshire,Concord,12,30,2012,24.3
North America,US,North Carolina,Charlotte,11,25,2015,46.2
Europe,Denmark,,Copenhagen,1,17,2015,36.9
North America,US,Louisiana,New Orleans,2,3,2016,64.5
North America,US,New York,New York City,11,7,2016,49.0
North America,US,New York,Buffalo,1,21,2012,20.6
Africa,Egypt,,Cairo,5,13,2013,79.9
North America,US,Arizona,Tucson,2,12,2018,62.4
Asia,Uzbekistan,,Tashkent,2,12,2017,33.1
Asia,Japan,,Tokyo,10,27,2014,64.1
North America,US,Wyoming,Cheyenne,1,10,2020,20.8
North America,US,Texas,Austin,5,27,2014,67.2
North America,US,Idaho,Pocatello,3,25,2011,38.0
Europe,United Kingdom,,London,11,6,2018,54.7
North America,US,Ohio,Columbus,1,16,2018,15.9
North America,US,Minnesota,Minneapolis St. Paul,3,17,2018,36.1
North America,US,Washington,Seattle,12,15,2018,46.3
North America,US,Oregon,Eugene,10,27,2017,50.2
Europe,Iceland,,Reykjavik,12,5,2013,13.4
Europe,United Kingdom,,London,11,6,2013,54.1
North America,US,Pennsylvania,Erie,2,14,2012,32.7
North America,US,Kansas,Topeka,8,3,2013,77.7
Europe,Ireland,,Dublin,10,18,2017,48.0
North America,US,District of Columbia,Washington,7,13,2011,85.5
North America,US,Nebraska,North Platte,8,28,2016,74.3
Asia,China,,Shanghai,5,17,2016,70.2
Africa,Mozambique,,Maputo,10,10,2012,77.4
North America,US,Pennsylvania,Wilkes Barre,7,22,2016,81.1
North America,US,Pennsylvania,Erie,2,16,2012,39.8
Europe,Ukraine,,Kiev,11,26,2011,35.9
North America,US,Kentucky,Paducah,12,28,2017,17.3
Europe,France,,Bordeaux,7,4,2015,75.6
North America,US,Oregon,Portland,10,30,2012,59.2
North America,US,Florida,Orlando,6,20,2015,80.6
North America,US,Texas,Houston,12,29,2012,43.0
North America,US,Texas,Dallas Ft Worth,3,20,2013,57.9
North America,US,Tennessee,Nashville,10,7,2014,67.5
North America,US,New Hampshire,Concord,12,5,2011,40.2
North America,US,Alaska,Anchorage,6,24,2018,54.6
Europe,United Kingdom,,Belfast,11,15,2011,51.1
North America,US,Massachusetts,Boston,2,22,2017,42.6
Asia,Pakistan,,Islamabad,1,4,2015,51.9
North America,Canada,,Winnipeg,8,18,2012,61.2
Middle East,Saudi Arabia,,Riyadh,8,24,2016,100.0
Africa,Mauritania,,Nouakchott,12,17,2016,67.9
North America,US,Rhode Island,Rhode Island,12,2,2015,43.5
Middle East,Kuwait,,Kuwait,5,26,2016,91.1
North America,US,California,Sacramento,8,31,2012,65.2
Europe,Italy,,Rome,5,9,2010,58.9
Europe,Poland,,Warsaw,12,1,2010,6.4
North America,US,Arizona,Phoenix,9,23,2018,91.5
North America,US,District of Columbia,Washington,8,16,2010,80.7
North America,US,Louisiana,New Orleans,12,25,2016,68.7
Asia,Tajikistan,,Dusanbe,5,22,2012,68.0
