"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","local_code"
"319009","ZW-0021","small_airport","Hot Springs Airport","-19.653303","32.4248","","AF","ZW","ZW-MA","Hot Springs","no","",""
"319012","ZW-0022","small_airport","Dorowa Airport","-19.056975","31.775152","","AF","ZW","ZW-MA","Dorowa","no","",""
"319235","ZW-0023","small_airport","Peoza Pasi Airstrip","-15.977261","30.396064","","AF","ZW","ZW-MC","","no","",""
"319236","ZW-0024","small_airport","Chapoto Road Airstrip","-15.749968","30.402576","","AF","ZW","ZW-MC","","no","",""
"319237","ZW-0025","small_airport","Kanyemba Airport","-15.665006","30.389806","","AF","ZW","ZW-MC","Kanyemba","no","",""
"319239","ZW-0026","small_airport","Mucumbura River Airport","-16.205187","31.681177","","AF","ZW","ZW-MC","","no","",""
"319241","ZW-0027","small_airport","Mwanja River Airport","-15.64811","29.9871","","AF","ZW","ZW-MW","","no","",""
"319242","ZW-0028","small_airport","Chewore Lodge Airstrip","-15.647438","29.879651","","AF","ZW","ZW-MW","","no","",""
"319244","ZW-0029","small_airport","Chikwenya Game Lodge Airstrip","-15.6956","29.576598","","AF","ZW","ZW-MW","","no","",""
"319245","ZW-0030","small_airport","Rukomeshe Research Station Airstrip","-16.147148","29.415766","","AF","ZW","ZW-MW","","no","FVRK",""
"319246","ZW-0031","small_airport","Honde Valley Airport","-18.497124","32.853992","","AF","ZW","ZW-MA","Honde Valley","no","",""
"319248","ZW-0032","small_airport","Chewonde Airport","-17.958974","28.270602","","AF","ZW","ZW-MN","","no","",""
"319249","ZW-0033","small_airport","Sengwa Airport","-18.167161","28.235588","","AF","ZW","ZW-MN","","no","",""
"319250","ZW-0034","small_airport","Sengwa Research Area Airstrip","-18.165196","28.215618","","AF","ZW","ZW-MN","","no","",""
"319251","ZW-0035","small_airport","Gokwe North Airport","-17.537114","28.330871","","AF","ZW","ZW-MI","","no","",""
"319252","ZW-0036","small_airport","Renco Airport","-20.602044","31.170552","","AF","ZW","ZW-MV","Renco","no","",""
"319253","ZW-0037","small_airport","Rupangwana Airport","-21.008374","32.181507","","AF","ZW","ZW-MA","Rupangwana","no","",""
"319254","ZW-0038","small_airport","Chipinge Farm Airstrip","-20.460575","32.203607","","AF","ZW","ZW-MV","","no","",""
"319255","ZW-0039","small_airport","Turwi River Airstrip","-20.395009","32.10904","","AF","ZW","ZW-MV","","no","",""
"319256","ZW-0040","small_airport","Kwaraguza Airport","-18.117815","32.841205","","AF","ZW","ZW-MA","Nyanga","no","",""
"325150","ZW-0041","small_airport","Mana West","-15.83586","29.174883","1232","AF","ZW","ZW-U-A","Mana Pools Area","no","",""
"325152","ZW-0042","small_airport","Sipepa Airstrip","-19.280942","27.648321","3270","AF","ZW","ZW-U-A","","no","",""
"325153","ZW-0043","closed","Pandamatenga East Airstrip","-18.5269","25.693563","3511","AF","ZW","ZW-MN","Mpandamatenga","no","",""
"329802","ZW-0044","closed","Makuti Airstrip","-16.344021","29.202102","3268","AF","ZW","ZW-MW","Makuti","no","",""
"331822","ZW-0045","small_airport","Robins Airstrip","-18.629722","25.979821","","AF","ZW","ZW-U-A","Robins Camp","no","",""
"30635","ZWAK","medium_airport","Aksu Airport","41.262501","80.291702","3816","AS","CN","CN-65","Aksu","yes","ZWAK",""
"46650","ZWAX","medium_airport","Alashankou Bole (Bortala) airport","44.895","82.3","1253","AS","CN","CN-65","Bole","no","ZWBL",""
"31684","ZWCM","medium_airport","Qiemo Yudu Airport","38.233611","85.465556","","AS","CN","CN-65","Qiemo","yes","ZWCM",""
"323219","ZWFY","medium_airport","Fuyun Koktokay Airport","46.804169","89.512006","3081","AS","CN","CN-65","Fuyun","yes","ZWFY",""
"31609","ZWHM","medium_airport","Hami Airport","42.8414","93.669197","2703","AS","CN","CN-65","Hami","yes","ZWHM",""
"31731","ZWKC","small_airport","Kuqa Airport","41.677856","82.872917","3524","AS","CN","CN-65","Kuqa","yes","ZWKC",""
"31771","ZWKL","medium_airport","Korla Airport","41.69779968261720","86.12889862060550","","AS","CN","CN-65","Korla","yes","ZWKL",""
"35310","ZWKM","small_airport","Karamay Airport","45.46655","84.9527","","AS","CN","CN-65","Karamay","yes","ZWKM",""
"313426","ZWKN","medium_airport","Kanas Airport","48.2223","86.9959","3921","AS","CN","CN-65","Burqin","yes","ZWKN",""
"316548","ZWNL","medium_airport","Xinyuan Nalati Airport","43.4318","83.3786","3050","AS","CN","CN-65","Xinyuan County","no","ZWNL",""
"333070","ZWRQ","medium_airport","Ruoqiang Loulan Airport","38.974722","88.008333","2916","AS","CN","CN-65","Ruoqiang Town","yes","ZWRQ",""
"326731","ZWSC","medium_airport","Yeerqiang Airport","38.281055","77.075192","4232","AS","CN","CN-65","Shache","yes","ZWSC",""
"27234","ZWSH","medium_airport","Kashgar Airport","39.5429000854","76.0199966431","4529","AS","CN","CN-65","Kashgar","yes","ZWSH",""
"32406","ZWSS","medium_airport","Shanshan Airport","42.91170120239260","90.24749755859380","","AS","CN","CN-65","Shanshan","no","ZWSS",""
"28144","ZWTC","small_airport","Tacheng Airport","46.67250061035160","83.3407974243164","","AS","CN","CN-65","Tacheng","no","ZWTC",""
"27235","ZWTN","medium_airport","Hotan Airport","37.03850173950200","79.86489868164060","4672","AS","CN","CN-65","Hotan","yes","ZWTN",""
"314799","ZWTP","medium_airport","Turpan Jiaohe Airport","43.0308","89.0987","934","AS","CN","CN-65","Turpan","no","ZWTP",""
"27236","ZWWW","large_airport","Ürümqi Diwopu International Airport","43.907100677490200","87.47419738769530","2125","AS","CN","CN-65","Ürümqi","yes","ZWWW",""
"32725","ZWYN","small_airport","Yining Airport","43.955799","81.330299","","AS","CN","CN-65","Yining","yes","ZWYN",""
"30646","ZYAS","medium_airport","Anshan Air Base","41.105301","122.853996","","AS","CN","CN-21","Anshan","yes","ZYAS",""
"27237","ZYCC","medium_airport","Longjia Airport","43.9962005615","125.684997559","706","AS","CN","CN-22","Changchun","yes","ZYCC",""
"300858","ZYCH","medium_airport","Changhai Airport","39.2666666667","122.666944444","80","AS","CN","CN-21","Changhai","no","ZYCH",""
"30827","ZYCY","medium_airport","Chaoyang Airport","41.538101","120.434998","568","AS","CN","CN-21","Chaoyang","yes","ZYCY",""
"327349","ZYDU","medium_airport","Wudalianchi Dedu Airport","48.445","126.133","984","AS","CN","CN-23","Wudalianchi","yes","ZYDU",""
"324338","ZYFX","small_airport","Fuxin Airport","42.069014","121.718122","548","AS","CN","CN-21","Fuxin","no","ZYFX",""
"313994","ZYFY","medium_airport","Dongji Aiport","48.199494","134.366447","","AS","CN","CN-23","Fuyuan","yes","ZYFY",""
"335271","ZYGH","small_airport","Genhe Airport","50.700277","121.3825","2257","AS","CN","CN-15","Haolibao","no","ZYGH",""
"27238","ZYHB","large_airport","Taiping Airport","45.6234016418457","126.25","457","AS","CN","CN-23","Harbin","yes","ZYHB",""
"31576","ZYHE","medium_airport","Heihe Airport","50.1716209371","127.308883667","8530","AS","CN","CN-23","Heihe","yes","ZYHE",""
"31701","ZYJL","small_airport","Jilin Airport","44.002201","126.396004","","AS","CN","CN-22","Jilin","no","ZYJL",""
"27239","ZYJM","medium_airport","Jiamusi Airport","46.84339904790000","130.464996338","262","AS","CN","CN-23","Jiamusi","yes","ZYJM",""
"327450","ZYJS","medium_airport","Jiansanjiang Airport","47.11","132.660278","","AS","CN","CN-23","Jiansanjiang","yes","ZYJS",""
